ARS;H;A;A;H;A;H;A;H;H;A;H;A;H;A;H;A;A;H;H;A;A;H;H;A;H;A;A;H;H;A;A;H;A;H;A;A;H;H
BOU;H;A;A;H;A;H;A;H;H;A;H;A;A;H;A;H;H;A;A;H;A;H;H;A;H;A;A;H;H;A;A;H;A;H;A;H;H;A
BUR;H;H;A;H;A;H;H;A;H;A;H;A;H;A;H;A;A;H;H;A;H;A;H;A;H;A;A;A;A;H;H;A;A;H;A;H;A;H
CHE;H;A;H;A;H;A;A;H;H;A;H;A;H;A;H;A;A;H;H;A;A;H;A;H;A;H;A;A;H;H;A;A;H;A;H;A;H;H
CRY;H;A;H;A;H;A;A;H;A;H;A;H;A;H;A;H;H;A;A;H;A;H;A;H;A;H;A;H;A;A;H;H;A;H;H;A;H;A
EVE;H;A;H;A;H;A;H;A;A;H;A;H;A;H;A;H;H;A;A;H;H;A;A;H;A;H;A;H;H;A;A;H;H;A;H;A;H;A
HUL;H;A;H;A;H;A;H;A;H;A;H;A;H;A;H;A;A;H;H;A;H;A;A;H;A;H;A;H;A;H;H;A;A;H;A;H;A;H
LEI;A;H;H;A;H;A;H;A;H;A;H;A;H;A;H;A;A;H;H;A;H;A;A;H;A;H;H;A;H;H;A;A;A;A;H;A;H;H
LIV;A;A;A;H;A;H;A;H;H;A;H;A;H;A;H;A;A;H;H;A;A;H;H;A;H;A;H;H;A;H;H;A;A;H;A;H;A;H
MCI;H;A;H;A;H;A;A;H;H;A;H;A;A;H;A;H;H;A;A;H;A;H;A;H;A;A;H;H;A;A;H;A;H;A;H;H;H;A
MID;H;A;A;H;A;H;A;H;A;H;A;H;A;H;A;H;H;A;A;H;A;H;H;A;H;A;A;H;A;A;H;H;A;H;H;A;H;A
MUN;A;H;A;H;A;H;H;A;A;H;A;H;H;A;H;A;A;H;H;A;H;A;H;A;H;H;A;H;H;A;H;A;A;H;A;A;A;H
SOU;H;A;H;A;H;A;A;H;A;H;A;H;H;A;H;A;A;H;H;A;A;H;A;H;A;A;A;H;H;A;H;A;H;A;H;A;H;H
STK;A;H;A;H;A;H;A;H;A;H;A;H;A;H;A;H;H;A;A;H;A;H;H;A;H;A;H;A;H;A;A;H;H;A;H;A;H;A
SUN;A;H;A;H;A;H;H;A;A;H;A;H;A;H;A;H;H;A;A;H;H;A;H;A;H;A;H;H;A;A;H;H;A;H;A;H;A;A
SWA;A;H;A;H;A;H;H;A;H;A;H;A;H;A;H;A;A;H;H;A;H;A;H;A;H;A;H;A;A;H;H;A;A;H;A;H;A;H
TOT;A;H;H;A;H;A;H;A;A;H;A;H;A;H;A;H;H;A;A;H;H;A;A;H;A;H;H;H;A;A;H;H;A;H;A;H;A;A
WAT;A;H;H;A;H;A;H;A;A;H;A;H;H;A;H;A;A;H;H;A;H;A;A;H;A;H;H;A;H;H;A;H;A;H;A;A;A;H
WBA;A;H;H;A;H;A;A;H;A;H;A;H;A;H;A;H;H;A;A;H;A;H;A;H;A;H;H;A;H;A;A;H;H;H;A;H;A;A
WHU;A;H;A;H;A;H;H;A;H;A;H;A;A;H;A;H;H;A;A;H;H;A;H;A;H;A;H;A;H;A;A;H;A;H;A;H;H;A
